Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description
X1,8MHz,TopLayer,CRYSTAL-SMD_4P-L5.0-W3.2-BL,1426.260mil,1107.244mil,0,无源晶体
U7,STM32F405RGT,TopLayer,LQFP64,885.000mil,645.000mil,0,STM32F405RGT
U6,CD4066B,TopLayer,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,365.000mil,1010.000mil,0,双向传输门（FET开关）
U5,AP2306,TopLayer,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,555.000mil,635.005mil,270,NMOS
U4,AP2306,TopLayer,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,420.000mil,635.005mil,270,NMOS
U3,AP2306,TopLayer,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,285.000mil,635.005mil,270,NMOS
U2,AP2306,TopLayer,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,150.000mil,635.005mil,270,NMOS
U1,CJA1117B-3.3V,TopLayer,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1697.466mil,740.746mil,270,STM32电源输入
R16,10K,TopLayer,0603R,1540.000mil,817.500mil,270,10K
R15,10K,TopLayer,0603R,1242.500mil,460.000mil,180,10K
R14,10K,TopLayer,0603R,535.000mil,777.500mil,270,10K
R13,10K,TopLayer,0603R,433.333mil,777.500mil,270,10K
R12,10K,TopLayer,0603R,331.667mil,777.500mil,270,10K
R11,10K,TopLayer,0603R,230.000mil,777.500mil,270,10K
R10,10K,TopLayer,0603R,1632.500mil,975.000mil,0,10K
R9,10K,TopLayer,0603R,1127.500mil,975.000mil,180,10K
R8,10K,TopLayer,0603R,580.000mil,492.500mil,90,10K
R7,10K,TopLayer,0603R,508.571mil,492.500mil,90,10K
R6,10K,TopLayer,0603R,437.142mil,492.500mil,90,10K
R5,10K,TopLayer,0603R,365.714mil,492.500mil,90,10K
R4,10K,TopLayer,0603R,294.286mil,492.500mil,90,10K
R3,10K,TopLayer,0603R,222.857mil,492.500mil,90,10K
R2,10K,TopLayer,0603R,151.429mil,492.500mil,90,10K
R1,10K,TopLayer,0603R,80.000mil,492.500mil,90,10K
KEY1,KEY,TopLayer,KEY-SMD_2P-L6.0-W6.0-P6.00,1350.000mil,820.000mil,90,
J5,KF301-5.0-2P,TopLayer,KF301-2P-DC,700.000mil,1140.000mil,0,电源输入
USART6,Apr-64,TopLayer,Apr-64,1699.213mil,325.000mil,180,串口线
ST-LINK,XH_2.54_4P,TopLayer,XH-2.54_7P_2.54,1170.025mil,230.000mil,180,端子
USART3_5V,Mar-64,TopLayer,Mar-64,696.575mil,311.887mil,0,电机连接线
USART2_5V,Mar-64,TopLayer,Mar-64,260.000mil,311.887mil,0,电机连接线
D4,LED0603,TopLayer,0603Led,1240.000mil,1103.969mil,270,
D3,LED0603,TopLayer,0603Led,1151.667mil,1103.969mil,270,
D2,LED0603,TopLayer,0603Led,1063.333mil,1103.969mil,270,
D1,LED0603,TopLayer,0603Led,975.000mil,1103.969mil,270,
C13,104,TopLayer,0603C,1242.906mil,535.000mil,180,104
C12,104,TopLayer,0603C,1367.906mil,535.000mil,180,104
C11,104,TopLayer,0603C,1492.906mil,535.000mil,0,104
C10,104,TopLayer,0603C,1492.906mil,605.000mil,180,104
C9,104,TopLayer,0603C,1367.906mil,605.000mil,180,104
C8,104,TopLayer,0603C,1242.906mil,605.000mil,180,104
C7,22uF,TopLayer,1206C,1697.894mil,548.767mil,180,22uF
C6,104,TopLayer,0603C,1632.618mil,1110.000mil,180,104
C5,104,TopLayer,0603C,1845.000mil,567.094mil,270,104
C4,104,TopLayer,0603C,1000.000mil,975.000mil,180,104
C3,104,TopLayer,0603C,1632.094mil,1045.000mil,180,104
C2,104,TopLayer,0603C,1845.000mil,702.094mil,90,104
C1,22uF,TopLayer,1206C,1697.894mil,652.507mil,180,22uF
